trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.95, 'e': 0.7199695849279575}",25,19,11.012276502201345,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.95, 'e': 0.7128896457825363}",20,10,8.77539793512432,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.7057571793025544}",20,13,14.793844174554044,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.95, 'e': 0.6985739453173903}",20,6,25.639259927981374,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.95, 'e': 0.6913417161825449}",25,7,28.86110039208605,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.6840622763423391}",25,0,23.414053103596437,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.95, 'e': 0.6767374218896286}",25,9,31.621096183488113,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.95, 'e': 0.6693689601226458}",35,22,21.940187843367028,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.95, 'e': 0.6619587090990747}",30,13,11.164419068252005,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.95, 'e': 0.6545084971874737}",30,20,-26.50036309362286,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.95, 'e': 0.647020162616152}",20,10,17.47961217332263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.95, 'e': 0.6394955530196147}",25,15,14.748959082778008,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.95, 'e': 0.6319365249826864}",20,11,17.38419387913868,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.95, 'e': 0.6243449435824273}",30,18,22.508611335772837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.95, 'e': 0.6167226819279528}",25,14,21.15200648147402,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.95, 'e': 0.6090716206982714}",25,14,20.689275302922862,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.95, 'e': 0.6013936476782563}",20,0,27.439036860744466,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.95, 'e': 0.5936906572928624}",35,20,23.93719334856777,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.95, 'e': 0.5859645501397047}",20,0,-14.577507248709814,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
89,False,"{'a': 0.95, 'e': 0.5782172325201155}",25,17,16.843408504244998,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.95, 'e': 0.5704506159687914}",20,15,8.07801587350706,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.95, 'e': 0.5626666167821522}",20,8,21.62651191608388,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.95, 'e': 0.5548671555455227}",20,13,13.392307112036452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.95, 'e': 0.5470541566592572}",20,7,27.53210064334913,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.95, 'e': 0.5392295478639225}",25,11,25.432539339014763,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.95, 'e': 0.5313952597646567}",25,0,36.22143468575876,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.95, 'e': 0.5235532253548213}",25,16,18.57393089387448,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.95, 'e': 0.5157053795390641}",20,14,10.789041062518985,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.95, 'e': 0.5078536586559104}",20,14,10.465180041688138,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.95, 'e': 0.5}",20,15,8.422080547821903,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.95, 'e': 0.49214634134408974}",20,9,-1.5149465756293634,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.95, 'e': 0.48429462046093585}",20,2,27.838684434957205,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
